Data,sepal_length,sepal_width,petal_length,petal_width,species
11/07/2018,4.4,3.2,1.3,0.2,setosa
09/07/2018,5.0,3.5,1.6,0.6,setosa
06/07/2018,5.1,3.8,1.9,0.4,setosa
04/07/2018,4.8,3.0,1.4,0.3,setosa
02/07/2018,5.1,3.8,1.6,0.2,setosa
29/06/2018,4.6,3.2,1.4,0.2,setosa
27/06/2018,5.3,3.7,1.5,0.2,setosa
25/06/2018,5.0,3.3,1.4,0.2,setosa
22/06/2018,7.0,3.2,4.7,1.4,versicolor
20/06/2018,6.4,3.2,4.5,1.5,versicolor
18/06/2018,6.9,3.1,4.9,1.5,versicolor
15/06/2018,5.5,2.3,4.0,1.3,versicolor
13/06/2018,6.5,2.8,4.6,1.5,versicolor
11/06/2018,5.7,2.8,4.5,1.3,versicolor
08/06/2018,6.3,3.3,4.7,1.6,versicolor
06/06/2018,4.9,2.4,3.3,1.0,versicolor
04/06/2018,6.6,2.9,4.6,1.3,versicolor
01/06/2018,5.2,2.7,3.9,1.4,versicolor
30/05/2018,5.0,2.0,3.5,1.0,versicolor
28/05/2018,5.9,3.0,4.2,1.5,versicolor
25/05/2018,6.0,2.2,4.0,1.0,versicolor
23/05/2018,6.1,2.9,4.7,1.4,versicolor
21/05/2018,5.6,2.9,3.6,1.3,versicolor
18/05/2018,6.7,3.1,4.4,1.4,versicolor
16/05/2018,5.6,3.0,4.5,1.5,versicolor
14/05/2018,5.8,2.7,4.1,1.0,versicolor
11/05/2018,6.2,2.2,4.5,1.5,versicolor
09/05/2018,5.6,2.5,3.9,1.1,versicolor
07/05/2018,5.9,3.2,4.8,1.8,versicolor
04/05/2018,6.1,2.8,4.0,1.3,versicolor
02/05/2018,6.3,2.5,4.9,1.5,versicolor
30/04/2018,6.1,2.8,4.7,1.2,versicolor
27/04/2018,6.4,2.9,4.3,1.3,versicolor
25/04/2018,6.6,3.0,4.4,1.4,versicolor
23/04/2018,6.8,2.8,4.8,1.4,versicolor
20/04/2018,6.7,3.0,5.0,1.7,versicolor
18/04/2018,6.0,2.9,4.5,1.5,versicolor
16/04/2018,5.7,2.6,3.5,1.0,versicolor
13/04/2018,5.5,2.4,3.8,1.1,versicolor
11/04/2018,5.5,2.4,3.7,1.0,versicolor
09/04/2018,5.8,2.7,3.9,1.2,versicolor
06/04/2018,6.0,2.7,5.1,1.6,versicolor
04/04/2018,5.4,3.0,4.5,1.5,versicolor
02/04/2018,6.0,3.4,4.5,1.6,versicolor
31/03/2018,6.7,3.1,4.7,1.5,versicolor
28/03/2018,6.3,2.3,4.4,1.3,versicolor
26/03/2018,5.6,3.0,4.1,1.3,versicolor
23/03/2018,5.5,2.5,4.0,1.3,versicolor
21/03/2018,5.5,2.6,4.4,1.2,versicolor
19/03/2018,6.1,3.0,4.6,1.4,versicolor
16/03/2018,5.8,2.6,4.0,1.2,versicolor
14/03/2018,5.0,2.3,3.3,1.0,versicolor
12/03/2018,5.6,2.7,4.2,1.3,versicolor
09/03/2018,5.7,3.0,4.2,1.2,versicolor
07/03/2018,5.7,2.9,4.2,1.3,versicolor
05/03/2018,6.2,2.9,4.3,1.3,versicolor
02/03/2018,5.1,2.5,3.0,1.1,versicolor
28/02/2018,5.7,2.8,4.1,1.3,versicolor
26/02/2018,6.3,3.3,6.0,2.5,virginica
23/02/2018,5.8,2.7,5.1,1.9,virginica
21/02/2018,7.1,3.0,5.9,2.1,virginica
19/02/2018,6.3,2.9,5.6,1.8,virginica
16/02/2018,6.5,3.0,5.8,2.2,virginica
14/02/2018,7.6,3.0,6.6,2.1,virginica
09/02/2018,4.9,2.5,4.5,1.7,virginica
07/02/2018,7.3,2.9,6.3,1.8,virginica
05/02/2018,6.7,2.5,5.8,1.8,virginica
02/02/2018,7.2,3.6,6.1,2.5,virginica
31/01/2018,6.5,3.2,5.1,2.0,virginica
29/01/2018,6.4,2.7,5.3,1.9,virginica
26/01/2018,6.8,3.0,5.5,2.1,virginica
24/01/2018,5.7,2.5,5.0,2.0,virginica
22/01/2018,5.8,2.8,5.1,2.4,virginica
19/01/2018,6.4,3.2,5.3,2.3,virginica
17/01/2018,6.5,3.0,5.5,1.8,virginica
15/01/2018,7.7,3.8,6.7,2.2,virginica
12/01/2018,7.7,2.6,6.9,2.3,virginica
10/01/2018,6.0,2.2,5.0,1.5,virginica
08/01/2018,6.9,3.2,5.7,2.3,virginica
05/01/2018,5.6,2.8,4.9,2.0,virginica
03/01/2018,7.7,2.8,6.7,2.0,virginica
02/01/2018,6.3,2.7,4.9,1.8,virginica
29/12/2017,6.7,3.3,5.7,2.1,virginica
27/12/2017,7.2,3.2,6.0,1.8,virginica
26/12/2017,6.2,2.8,4.8,1.8,virginica
22/12/2017,6.1,3.0,4.9,1.8,virginica
20/12/2017,6.4,2.8,5.6,2.1,virginica
18/12/2017,7.2,3.0,5.8,1.6,virginica
15/12/2017,7.4,2.8,6.1,1.9,virginica
13/12/2017,7.9,3.8,6.4,2.0,virginica
11/12/2017,6.4,2.8,5.6,2.2,virginica
08/12/2017,6.3,2.8,5.1,1.5,virginica
06/12/2017,6.1,2.6,5.6,1.4,virginica
04/12/2017,7.7,3.0,6.1,2.3,virginica
01/12/2017,6.3,3.4,5.6,2.4,virginica
29/11/2017,6.4,3.1,5.5,1.8,virginica
27/11/2017,6.0,3.0,4.8,1.8,virginica
24/11/2017,6.9,3.1,5.4,2.1,virginica
22/11/2017,6.7,3.1,5.6,2.4,virginica
20/11/2017,6.9,3.1,5.1,2.3,virginica
17/11/2017,5.8,2.7,5.1,1.9,virginica
16/11/2017,6.8,3.2,5.9,2.3,virginica
13/11/2017,6.7,3.3,5.7,2.5,virginica
10/11/2017,6.7,3.0,5.2,2.3,virginica
08/11/2017,6.3,2.5,5.0,1.9,virginica
06/11/2017,6.5,3.0,5.2,2.0,virginica
03/11/2017,6.2,3.4,5.4,2.3,virginica
01/11/2017,5.9,3.0,5.1,1.8,virginica
